,Year,Title,Role,Notes,Refs.
0,1996,Parklands,Rosie,Short film,[17]
1,1997,Paradise Road,Susan Macarthy,,[18]
2,1997,Thank God He Met Lizzie,Lizzie,,[19]
3,1997,Oscar and Lucinda,Lucinda Leplastrier,,[20]
4,1998,Elizabeth,Queen Elizabeth I,,[21]
5,1999,An Ideal Husband,Lady Gertrude Chiltern,,[22]
6,1999,Bangers,Julie-Anne,Short film; also producer,[23]
7,1999,Pushing Tin,Connie Falzone,,[24]
8,1999,Eyes Wide Shut,Mysterious Woman (voice),Uncredited,[25]
9,1999,The Talented Mr. Ripley,Meredith Logue,,[26]
10,2000,The Gift,"Annabelle ""Annie"" Wilson",,[27]
11,2000,The Man Who Cried,Lola,,[28]
12,2001,The Shipping News,Petal Quoyle,,[29]
13,2001,Charlotte Gray,Charlotte Gray,,[30]
14,2001,Bandits,Kate Wheeler,,[31]
15,2001,The Lord of the Rings: The Fellowship of the Ring,Galadriel,,[32]
16,2002,The Lord of the Rings: The Two Towers,Galadriel,,[33]
17,2002,Heaven,Philippa,,[34]
18,2003,Coffee and Cigarettes,Herself / Shelly[a],,[35]
19,2003,Veronica Guerin,Veronica Guerin,,[36]
20,2003,The Missing,"Magdalena ""Maggie"" Gilkeson",,[37]
21,2003,The Lord of the Rings: The Return of the King,Galadriel,,[38]
22,2004,The Life Aquatic with Steve Zissou,Jane Winslett-Richardson,,[39]
23,2004,The Aviator,Katharine Hepburn,,[40]
24,2005,Tarzan II,Animal vocal effects (voice),Direct-to-video,
25,2005,Little Fish,Tracy Heart,,[41]
26,2006,Babel,Susan Jones,,[42]
27,2006,The Good German,Lena Brandt,,[43]
28,2006,Notes on a Scandal,Sheba Hart,,[44]
29,2007,Hot Fuzz,Janine,Uncredited cameo,[45]
30,2007,In the Company of Actors,Herself,Documentary,[46]
31,2007,Elizabeth: The Golden Age,Queen Elizabeth I,,[47]
32,2007,I'm Not There,Jude Quinn (Bob Dylan),,[48]
33,2008,Indiana Jones and the Kingdom of the Crystal Skull,Irina Spalko,,[49]
34,2008,The Curious Case of Benjamin Button,Daisy Fuller,,[50]
35,2008,Ponyo,Granmamare (voice),English dub,[51]
36,2010,Robin Hood,Lady Marian,,[52]
37,2011,Hanna,Marissa Wiegler,,[53]
38,2012,The Hobbit: An Unexpected Journey,Galadriel,,[54]
39,2012,A Cautionary Tail,Narrator,Short film,[55]
40,2013,Girl Rising,Narrator,Documentary,[56]
41,2013,Journey to the South Pacific,Narrator,Documentary,[57]
42,2013,Blue Jasmine,"Jeanette ""Jasmine"" Francis",,[58]
43,2013,The Turning,Gail Lang,,[59]
44,2013,The Galapagos Affair,Dore Strauch (voice),Documentary,[60]
45,2013,The Hobbit: The Desolation of Smaug,Galadriel,,[61]
46,2014,The Monuments Men,Claire Simone,,[62]
47,2014,How to Train Your Dragon 2,Valka (voice),,[63]
48,2014,The Hobbit: The Battle of the Five Armies,Galadriel,,[64]
49,2015,Knight of Cups,Nancy,,[65]
50,2015,Cinderella,Lady Tremaine,,[66]
51,2015,Carol,Carol Aird,,[67]
52,2015,Truth,Mary Mapes,,[68]
53,2015,Manifesto,Various[b],,[69]
54,2016,Voyage of Time,Narrator,Documentary,[70]
55,2017,Red,Mother,Short film,[71]
56,2017,Song to Song,Amanda,,[72]
57,2017,Thor: Ragnarok,Hela,,[73]
58,2018,Ocean's 8,Lou,,[74]
59,2018,The House with a Clock in Its Walls,Florence Zimmerman,,[75]
60,2018,Mowgli: Legend of the Jungle,Kaa (voice),,[76]
61,2019,How to Train Your Dragon: The Hidden World,Valka (voice),,[77]
62,2019,"Where'd You Go, Bernadette",Bernadette Fox,,[78]
63,2019,Sweet Tooth,Narrator,Short film,[79]
64,2021,Don't Look Up,Brie Evantee,,[80]
65,2021,Nightmare Alley,Dr. Lilith Ritter,,[81]
66,2022,Tár,Lydia Tár,Filming,[82]
67,2022,Pinocchio,Sprezzatura the Monkey (voice),Post-production,[83]
68,TBA,Borderlands,Lilith,Post-production,[84]
