,Year,Title,Voice role,Ref.
0,1993,Bram Stoker's Dracula,Count Dracula,
1,1998,The Fifth Element,Jean-Baptiste Emmanuel Zorg,
2,2003,Medal of Honor: Allied Assault,Sgt. Jack Barnes,
3,2003,True Crime: Streets of LA,"Rasputin ""Rocky"" Kuznetskov / Agent Masterson",[5]
4,2006,The Legend of Spyro: A New Beginning,Ignitus,
5,2007,The Legend of Spyro: The Eternal Night,Ignitus,
6,2008,The Legend of Spyro: Dawn of the Dragon,Ignitus,
7,2008,Call of Duty: World at War,Sgt. Viktor Reznov,[6]
8,2010,Call of Duty: Black Ops,Viktor Reznov / Dr. Daniel Clarke,
9,2015,Lego Dimensions,Lord Vortech,
