,Year,Title,Role(s),Notes,Ref(s)
0,1991,Triple Bogey on a Par Five Hole,Klutch,Credited as Phil Hoffman,[20]
1,1992,Szuler,Martin,English title: CheatCredited as Phil Hoffman,[21]
2,1992,My New Gun,Chris,,[22]
3,1992,Leap of Faith,Matt,,[23]
4,1992,Scent of a Woman,"George Willis, Jr.",Credited as Philip S. Hoffman,[23]
5,1993,My Boyfriend's Back,Chuck Bronski,,[24]
6,1993,Joey Breaker,Wiley McCall,,[23]
7,1993,Money for Nothing,Cochran,Credited as Philip S. Hoffman,[23]
8,1994,The Getaway,Frank Hansen,Credited as Philip Hoffman,[25]
9,1994,When a Man Loves a Woman,Gary,,[26]
10,1994,Nobody's Fool,Officer Raymer,,[27]
11,1995,The Fifteen Minute Hamlet,Bernardo / Horatio / Laertes,Short film,[28]
12,1996,Hard Eight,Young Craps Player,,[29]
13,1996,Twister,"Dustin ""Dusty"" Davis",,[30]
14,1997,Boogie Nights,Scotty J.,,[31]
15,1997,Culture,Bill,Short film,[32]
16,1998,Montana,Duncan,,[29]
17,1998,The Big Lebowski,Brandt,,[33]
18,1998,Next Stop Wonderland,Sean,Credited as Phil Hoffman,[21]
19,1998,Happiness,Allen,,[34]
20,1998,Patch Adams,Mitch,,[35]
21,1999,Flawless,Rusty Zimmerman,,[29]
22,1999,The Talented Mr. Ripley,Freddie Miles,,[34][36]
23,1999,Magnolia,Phil Parma,,[9][29]
24,2000,State and Main,Joseph Turner White,,[37]
25,2000,Almost Famous,Lester Bangs,,[34]
26,2002,Love Liza,Wilson Joel,,[34]
27,2002,Punch-Drunk Love,Dean Trumbell,,[34]
28,2002,Red Dragon,Freddy Lounds,,[34]
29,2002,25th Hour,Jacob Elinsky,,[29]
30,2003,Owning Mahowny,Dan Mahowny,,[29]
31,2003,The Party's Over,Himself,Documentary,[38]
32,2003,Cold Mountain,Reverend Veasey,,[29]
33,2004,Along Came Polly,Sandy Lyle,,[37]
34,2005,Strangers with Candy,Henry,Cameo,[39]
35,2005,Capote,Truman Capote,Also executive producer,[29]
36,2006,Mission: Impossible III,Owen Davian,,[34]
37,2007,The Savages,Jon Savage,,[29]
38,2007,Before the Devil Knows You're Dead,Andy Hanson,,[40]
39,2007,Charlie Wilson's War,Gust Avrakotos,,[34]
40,2008,"Synecdoche, New York",Caden Cotard,,[29]
41,2008,Doubt,Father Brendan Flynn,,[29]
42,2009,Mary and Max,Max Jerry Horowitz (voice),,[41]
43,2009,The Boat That Rocked,The Count,,[29]
44,2009,The Invention of Lying,Jim the Bartender,Cameo,[29]
45,2010,Jack Goes Boating,Jack,Also director and executive producer,[29]
46,2011,The Ides of March,Paul Zara,,[29]
47,2011,Moneyball,Art Howe,,[34]
48,2012,The Master,Lancaster Dodd,,[34]
49,2012,A Late Quartet,Robert Gelbart,,[42]
50,2013,The Hunger Games: Catching Fire,Plutarch Heavensbee,,[34]
51,2014,God's Pocket,Mickey Scarpato,Also producer,[29]
52,2014,A Most Wanted Man,Günther Bachmann,,[29]
53,2014,The Hunger Games: Mockingjay – Part 1,Plutarch Heavensbee,Posthumous release,[34]
54,2015,The Hunger Games: Mockingjay – Part 2,Plutarch Heavensbee,Posthumous release,[34]
