,Year,Title,Theatre,Role,Ref(s)
0,1977,The Taming of the Shrew,Lakewood Civic Auditorium,Grumio,[164][165][166]
1,1977,Hamlet,Lakewood Civic Auditorium,"Soldier, Reynaldo",[164][167]
2,1978,Polly,Lakewood Civic Auditorium,Hacker,[164][167]
3,1978,The Two Gentlemen of Verona,Lakewood Civic Auditorium,Proteus,[164][168]
4,1978,The Wild Oats,Lakewood Civic Auditorium,Muz,[164][167]
5,1978,King John,Lakewood Civic Auditorium,Robert Faulconbridge,[164][167]
6,1979,Twelfth Night,Lakewood Civic Auditorium,Fabian,[164][167]
7,1979,Juno and the Paycock,Lakewood Civic Auditorium,Jerry Devine,[164][167]
8,1979,Do Me a Favorite,Lakewood Civic Auditorium,Harold,[164][167]
9,1979,The Mandrake,Riverside Shakespeare Theater,Callimaco,[169]
10,2013,Lucky Guy,Broadhurst Theatre,Mike McAlary,[170]
11,2018,Henry IV,Shakespeare Center of Los Angeles,Sir John Falstaff,[171]
